open,Close,high,low,volume,time
1.775,1.867,1.876,1.775,86854.00,2022-06-30 23:30:00+00:00
1.784,1.775,1.796,1.772,23151.00,2022-06-30 23:00:00+00:00
1.780,1.785,1.798,1.779,31655.00,2022-06-30 22:30:00+00:00
1.766,1.780,1.786,1.759,21348.00,2022-06-30 22:00:00+00:00
1.778,1.765,1.785,1.765,17537.00,2022-06-30 21:30:00+00:00
1.762,1.778,1.782,1.760,26239.00,2022-06-30 21:00:00+00:00
1.787,1.761,1.790,1.754,39064.00,2022-06-30 20:30:00+00:00
1.778,1.787,1.797,1.772,30860.00,2022-06-30 20:00:00+00:00
1.777,1.776,1.788,1.765,39838.00,2022-06-30 19:30:00+00:00
1.774,1.777,1.781,1.761,28386.00,2022-06-30 19:00:00+00:00
1.784,1.774,1.786,1.769,42004.00,2022-06-30 18:30:00+00:00
1.795,1.784,1.795,1.781,25992.00,2022-06-30 18:00:00+00:00
1.788,1.795,1.809,1.788,51219.00,2022-06-30 17:30:00+00:00
1.790,1.788,1.794,1.783,35292.00,2022-06-30 17:00:00+00:00
1.801,1.788,1.813,1.788,68647.00,2022-06-30 16:30:00+00:00
1.788,1.801,1.803,1.776,68209.00,2022-06-30 16:00:00+00:00
1.799,1.789,1.799,1.782,58912.00,2022-06-30 15:30:00+00:00
1.780,1.799,1.802,1.775,73174.00,2022-06-30 15:00:00+00:00
1.758,1.780,1.782,1.757,72318.00,2022-06-30 14:30:00+00:00
1.741,1.757,1.765,1.740,73469.00,2022-06-30 14:00:00+00:00
1.789,1.741,1.792,1.736,112552.00,2022-06-30 13:30:00+00:00
1.805,1.789,1.811,1.786,60052.00,2022-06-30 13:00:00+00:00
1.769,1.805,1.810,1.768,131113.00,2022-06-30 12:30:00+00:00
1.755,1.768,1.769,1.752,69911.00,2022-06-30 12:00:00+00:00
1.745,1.755,1.761,1.741,68655.00,2022-06-30 11:30:00+00:00
1.750,1.744,1.751,1.738,42726.00,2022-06-30 11:00:00+00:00
1.750,1.750,1.752,1.734,56167.00,2022-06-30 10:30:00+00:00
1.769,1.751,1.771,1.749,58525.00,2022-06-30 10:00:00+00:00
1.737,1.769,1.773,1.735,65594.00,2022-06-30 09:30:00+00:00
1.777,1.738,1.785,1.737,92042.00,2022-06-30 09:00:00+00:00
1.798,1.777,1.799,1.773,78157.00,2022-06-30 08:30:00+00:00
1.812,1.798,1.812,1.790,131001.00,2022-06-30 08:00:00+00:00
1.831,1.812,1.832,1.807,153174.00,2022-06-30 07:30:00+00:00
