time,open,high,low,Close,Volume,Close Time,Quote asset volume,Number of Trades,Taker Volume,Maker Volume,Nothing
2022-01-30 01:00:00,70.95,71.4,70.85,71.29,20563.98000000,1643506199999,1461230.61730000,2504,8010.62000000,569584.82860000,0
2022-01-30 00:30:00,71.64,71.71,70.41,70.95,42989.27000000,1643504399999,3051252.30310000,6567,17525.35000000,1243819.65870000,0
2022-01-30 00:00:00,71.91,72.27,71.44,71.66,20771.93000000,1643502599999,1493969.93820000,2906,11216.53000000,806743.01280000,0
2022-01-29 23:30:00,71.36,72.21,71.35,71.89,28556.80000000,1643500799999,2052590.08190000,2912,14686.86000000,1055941.55450000,0
2022-01-29 23:00:00,71.6,71.86,71.07,71.38,23935.36000000,1643498999999,1710985.51240000,3157,10902.75000000,779385.08820000,0
2022-01-29 22:30:00,71.79,72.26,71.21,71.58,23472.45000000,1643497199999,1685245.13230000,3566,11727.28000000,842655.57880000,0
2022-01-29 22:00:00,72.39,72.48,71.6,71.79,32496.01000000,1643495399999,2338299.04120000,5239,13932.98000000,1002489.53940000,0
2022-01-29 21:30:00,73.04,73.19,72.37,72.41,29523.26000000,1643493599999,2146062.17890000,3842,14530.88000000,1056318.29490000,0
2022-01-29 21:00:00,72.45,73.19,72.21,73.06,43977.02000000,1643491799999,3205246.75870000,6375,26299.40000000,1916907.80560000,0
2022-01-29 20:30:00,72.78,73.58,71.78,72.46,127808.19000000,1643489999999,9310409.46250000,19064,60136.10000000,4385537.66770000,0
2022-01-29 20:00:00,72.36,72.87,71.94,72.76,27841.79000000,1643488199999,2016628.68880000,4224,15165.96000000,1098823.22720000,0
2022-01-29 19:30:00,72.34,72.88,71.97,72.37,41772.11000000,1643486399999,3025788.76480000,6674,21686.99000000,1571357.17030000,0
2022-01-29 19:00:00,71.35,72.56,71.28,72.32,84285.07000000,1643484599999,6080998.76030000,13115,52516.97000000,3788240.95690000,0
2022-01-29 18:30:00,71.01,71.57,70.57,71.35,47924.74000000,1643482799999,3411121.31380000,6069,29650.95000000,2110468.82700000,0
2022-01-29 18:00:00,70.27,71.18,70.23,70.98,20916.78000000,1643480999999,1478902.97940000,3486,14009.41000000,990650.18000000,0
2022-01-29 17:30:00,69.96,70.83,69.75,70.27,28747.99000000,1643479199999,2022859.50020000,3855,15927.27000000,1121083.29550000,0
2022-01-29 17:00:00,70.12,70.43,69.68,69.96,29215.77000000,1643477399999,2046885.87100000,3706,14861.24000000,1041525.71280000,0
2022-01-29 16:30:00,70.75,70.86,69.65,70.16,64793.66000000,1643475599999,4554537.20200000,8548,27961.23000000,1964978.98200000,0
2022-01-29 16:00:00,71.38,71.9,70.44,70.77,67589.08000000,1643473799999,4805359.55540000,10860,38195.87000000,2715887.86050000,0
2022-01-29 15:30:00,71.23,71.5,70.01,71.44,75383.37000000,1643471999999,5349986.54820000,9305,41944.02000000,2979257.50110000,0
2022-01-29 15:00:00,70.34,71.38,69.55,71.23,83364.69000000,1643470199999,5894301.42640000,11888,43811.51000000,3098935.75850000,0
2022-01-29 14:30:00,71.27,71.34,69.64,70.34,76125.53000000,1643468399999,5372736.35200000,10369,33631.51000000,2374519.17100000,0
2022-01-29 14:00:00,71.65,71.74,71.14,71.29,50224.23000000,1643466599999,3590108.39620000,5448,18739.49000000,1339505.82140000,0
2022-01-29 13:30:00,70.0,71.67,69.96,71.65,83074.67000000,1643464799999,5887418.22180000,11691,53487.37000000,3789756.36370000,0
2022-01-29 13:00:00,70.12,70.35,69.85,69.99,33393.02000000,1643462999999,2340590.76450000,4207,18922.80000000,1326571.54890000,0
2022-01-29 12:30:00,69.33,70.44,69.18,70.12,39431.34000000,1643461199999,2755915.14730000,7738,25299.44000000,1768607.84470000,0
2022-01-29 12:00:00,69.21,69.67,68.81,69.33,33891.91000000,1643459399999,2348615.66160000,4879,18997.74000000,1317685.66160000,0
2022-01-29 11:30:00,68.81,69.37,68.61,69.23,13812.30000000,1643457599999,953165.51850000,2438,7916.12000000,546399.71970000,0
2022-01-29 11:00:00,68.7,68.85,68.5,68.82,10620.59000000,1643455799999,729094.12780000,1793,4895.65000000,336148.22630000,0
2022-01-29 10:30:00,68.75,68.91,68.59,68.72,8004.79000000,1643453999999,550409.30830000,1379,4246.42000000,292022.20330000,0
2022-01-29 10:00:00,69.0,69.0,68.48,68.74,11257.81000000,1643452199999,773520.74870000,1585,6198.91000000,425920.53460000,0
2022-01-29 09:30:00,68.76,69.13,68.64,68.99,15226.34000000,1643450399999,1049104.60090000,2445,8670.80000000,597463.41960000,0
2022-01-29 09:00:00,69.05,69.05,68.29,68.75,25651.88000000,1643448599999,1761566.89560000,4982,10314.11000000,707884.75510000,0
2022-01-29 08:30:00,69.05,69.52,68.9,69.02,28842.03000000,1643446799999,1994038.19540000,3079,10829.47000000,748858.55480000,0
2022-01-29 08:00:00,69.38,69.55,68.72,69.05,24756.61000000,1643444999999,1710771.06730000,4325,11341.16000000,784574.93500000,0
2022-01-29 07:30:00,68.9,69.42,68.83,69.42,23270.71000000,1643443199999,1608718.94650000,4582,12958.87000000,895684.80020000,0
2022-01-29 07:00:00,68.61,68.96,68.56,68.9,15419.94000000,1643441399999,1060043.23470000,2211,9192.06000000,632040.46500000,0
2022-01-29 06:30:00,68.64,68.96,68.34,68.61,23600.57000000,1643439599999,1619346.11680000,2761,13214.01000000,906843.87150000,0
2022-01-29 06:00:00,68.65,68.83,68.25,68.67,28726.91000000,1643437799999,1970410.02320000,4192,15048.06000000,1031939.71340000,0
2022-01-29 05:30:00,67.78,68.66,67.6,68.66,27167.97000000,1643435999999,1850569.72580000,4260,16789.59000000,1144668.27550000,0
2022-01-29 05:00:00,67.91,67.96,67.68,67.8,15353.41000000,1643434199999,1041032.22380000,1943,7899.68000000,535760.35450000,0
2022-01-29 04:30:00,67.82,68.03,67.79,67.9,15876.02000000,1643432399999,1077628.89930000,1845,10329.90000000,701175.68420000,0
2022-01-29 04:00:00,67.55,67.99,67.44,67.82,15692.48000000,1643430599999,1063803.74390000,2166,8758.65000000,593749.04920000,0
2022-01-29 03:30:00,67.59,67.72,67.45,67.54,8166.87000000,1643428799999,552004.50310000,1307,4477.49000000,302655.01560000,0
2022-01-29 03:00:00,67.07,67.59,67.01,67.59,10730.59000000,1643426999999,722681.46160000,1370,5366.50000000,361356.81420000,0
2022-01-29 02:30:00,67.26,67.33,66.88,67.07,12780.58000000,1643425199999,858012.03020000,1577,5606.52000000,376398.92700000,0
2022-01-29 02:00:00,67.65,67.72,67.16,67.22,10741.07000000,1643423399999,724174.00210000,1661,4586.24000000,309333.23210000,0
2022-01-29 01:30:00,67.1,67.76,66.86,67.66,21754.07000000,1643421599999,1465600.72180000,3487,12391.41000000,835085.40300000,0
2022-01-29 01:00:00,67.73,68.06,66.92,67.1,22377.69000000,1643419799999,1511312.17890000,3584,9492.14000000,641646.74970000,0
2022-01-29 00:30:00,67.65,68.0,67.3,67.73,17869.61000000,1643417999999,1207575.23760000,2703,8550.83000000,577989.52630000,0
2022-01-29 00:00:00,67.02,68.36,66.87,67.67,57180.79000000,1643416199999,3871087.67590000,9030,33689.83000000,2281216.48600000,0
2022-01-28 23:30:00,67.06,67.27,66.8,67.01,18563.98000000,1643414399999,1244946.47980000,2469,10448.73000000,700805.82000000,0
2022-01-28 23:00:00,66.25,67.3,66.23,67.05,30957.68000000,1643412599999,2068887.72960000,3549,17618.10000000,1177803.91570000,0
2022-01-28 22:30:00,66.69,67.25,66.11,66.23,22917.36000000,1643410799999,1529513.45430000,2881,12388.64000000,827630.06520000,0
2022-01-28 22:00:00,66.56,67.12,66.56,66.71,21319.71000000,1643408999999,1426047.42720000,3011,10322.92000000,690640.92310000,0
2022-01-28 21:30:00,67.0,67.5,66.41,66.59,57496.39000000,1643407199999,3857192.57060000,6381,27441.10000000,1841918.95950000,0
2022-01-28 21:00:00,66.68,67.45,66.47,67.0,49989.28000000,1643405399999,3346648.89100000,7828,28174.67000000,1886188.04010000,0
2022-01-28 20:30:00,65.57,66.84,65.43,66.69,55247.84000000,1643403599999,3670249.58150000,8527,33756.70000000,2242789.06240000,0
2022-01-28 20:00:00,65.67,66.02,65.33,65.59,27066.01000000,1643401799999,1779707.18250000,4099,15687.36000000,1031598.88080000,0
2022-01-28 19:30:00,65.02,65.72,64.65,65.68,35413.24000000,1643399999999,2314205.08670000,4612,20231.45000000,1323092.00320000,0
2022-01-28 19:00:00,65.59,65.84,64.78,65.06,20381.52000000,1643398199999,1328129.06480000,2802,7952.22000000,518201.53620000,0
2022-01-28 18:30:00,65.28,65.87,65.28,65.59,26504.55000000,1643396399999,1738248.69340000,3717,13747.22000000,901646.03240000,0
2022-01-28 18:00:00,64.86,65.74,64.82,65.27,32901.28000000,1643394599999,2146961.07250000,3952,16829.73000000,1098783.92340000,0
2022-01-28 17:30:00,65.27,65.58,64.65,64.85,23414.22000000,1643392799999,1526281.92520000,3533,8978.36000000,585553.16440000,0
2022-01-28 17:00:00,65.73,65.95,64.96,65.27,34572.25000000,1643390999999,2258467.19370000,4728,13173.71000000,861271.83700000,0
2022-01-28 16:30:00,66.11,66.25,65.39,65.72,37300.03000000,1643389199999,2457151.83870000,5817,16389.40000000,1080331.09880000,0
2022-01-28 16:00:00,65.06,66.44,64.79,66.1,78822.04000000,1643387399999,5188743.82710000,10711,50354.00000000,3316031.97200000,0
2022-01-28 15:30:00,63.83,65.29,63.46,65.05,57509.48000000,1643385599999,3713187.72550000,7697,33771.12000000,2181578.31120000,0
2022-01-28 15:00:00,63.2,64.5,62.95,63.83,58887.84000000,1643383799999,3763944.29500000,7477,32309.36000000,2064816.83120000,0
2022-01-28 14:30:00,64.42,64.44,62.95,63.23,79704.84000000,1643381999999,5045797.02530000,8170,39785.91000000,2517247.55650000,0
2022-01-28 14:00:00,63.93,64.53,63.66,64.42,43752.34000000,1643380199999,2811306.12130000,5785,24647.45000000,1583708.40110000,0
2022-01-28 13:30:00,62.43,64.14,62.43,63.9,86010.67000000,1643378399999,5479052.11710000,9586,47137.48000000,3001245.94060000,0
2022-01-28 13:00:00,62.21,62.7,62.03,62.4,20865.93000000,1643376599999,1301808.71390000,3322,11711.52000000,730679.38240000,0
2022-01-28 12:30:00,62.41,62.58,61.71,62.21,42055.10000000,1643374799999,2609357.57810000,6040,24360.12000000,1511556.82570000,0
2022-01-28 12:00:00,62.78,63.16,62.2,62.43,26259.04000000,1643372999999,1645241.36880000,4358,13401.62000000,839751.50340000,0
2022-01-28 11:30:00,62.62,62.98,62.35,62.76,25862.44000000,1643371199999,1620952.60200000,3649,11008.87000000,690195.36640000,0
2022-01-28 11:00:00,62.98,63.18,62.36,62.62,29008.09000000,1643369399999,1818988.34470000,4776,15645.71000000,981063.36190000,0
2022-01-28 10:30:00,63.3,63.7,62.86,62.97,30037.08000000,1643367599999,1898199.23570000,4011,16046.51000000,1014440.88130000,0
2022-01-28 10:00:00,63.59,63.69,62.91,63.3,46885.60000000,1643365799999,2963431.70530000,6112,18905.38000000,1194843.62990000,0
2022-01-28 09:30:00,64.05,64.12,63.36,63.59,27650.66000000,1643363999999,1761367.94680000,3888,12074.84000000,769234.95950000,0
2022-01-28 09:00:00,64.28,64.47,63.82,64.07,25058.46000000,1643362199999,1608161.63380000,3520,12528.35000000,804247.95930000,0
2022-01-28 08:30:00,63.59,64.33,63.34,64.29,24006.88000000,1643360399999,1531549.88640000,4124,13233.18000000,844234.26600000,0
2022-01-28 08:00:00,64.6,64.72,63.11,63.6,90871.35000000,1643358599999,5797126.90760000,10878,44501.75000000,2834851.64910000,0
2022-01-28 07:30:00,64.93,65.38,64.44,64.59,31829.46000000,1643356799999,2064039.21860000,3865,11372.40000000,738094.54610000,0
2022-01-28 07:00:00,64.66,65.42,64.32,64.95,32367.13000000,1643354999999,2098279.08120000,4712,16660.87000000,1080305.32020000,0
2022-01-28 06:30:00,65.84,66.05,64.57,64.66,32267.43000000,1643353199999,2107516.88090000,4566,14350.22000000,938510.65710000,0
2022-01-28 06:00:00,65.44,66.12,65.37,65.84,25083.60000000,1643351399999,1653562.18950000,3285,15606.30000000,1028960.18050000,0
2022-01-28 05:30:00,65.34,65.65,65.18,65.45,14234.95000000,1643349599999,931558.65980000,2147,8319.89000000,544510.37750000,0
2022-01-28 05:00:00,65.62,65.64,65.04,65.36,19929.31000000,1643347799999,1300843.52030000,2508,10256.12000000,669330.69350000,0
2022-01-28 04:30:00,65.28,65.63,64.93,65.6,21912.39000000,1643345999999,1429120.10770000,3237,10935.73000000,713207.06500000,0
2022-01-28 04:00:00,65.71,66.03,65.28,65.31,24022.97000000,1643344199999,1577466.39880000,3134,12317.74000000,809376.82180000,0
