open,Close,high,low,volume,time
17.230,17.085,17.260,17.070,76411.00,2023-04-30 23:30:00+00:00
17.235,17.230,17.265,17.175,48387.00,2023-04-30 23:00:00+00:00
17.235,17.235,17.240,17.195,10636.00,2023-04-30 22:30:00+00:00
17.215,17.225,17.235,17.180,10330.00,2023-04-30 22:00:00+00:00
17.240,17.215,17.245,17.170,12490.00,2023-04-30 21:30:00+00:00
17.190,17.240,17.250,17.165,15481.00,2023-04-30 21:00:00+00:00
17.200,17.190,17.210,17.095,25453.00,2023-04-30 20:30:00+00:00
17.330,17.200,17.330,17.065,110418.00,2023-04-30 20:00:00+00:00
17.325,17.320,17.340,17.235,36368.00,2023-04-30 19:30:00+00:00
17.560,17.320,17.580,17.240,95008.00,2023-04-30 19:00:00+00:00
17.605,17.560,17.605,17.545,13627.00,2023-04-30 18:30:00+00:00
17.605,17.605,17.620,17.525,37474.00,2023-04-30 18:00:00+00:00
17.655,17.605,17.670,17.605,16116.00,2023-04-30 17:30:00+00:00
17.675,17.655,17.700,17.595,19076.00,2023-04-30 17:00:00+00:00
17.630,17.675,17.715,17.630,15954.00,2023-04-30 16:30:00+00:00
17.620,17.630,17.760,17.620,51189.00,2023-04-30 16:00:00+00:00
17.680,17.620,17.830,17.555,112764.00,2023-04-30 15:30:00+00:00
17.485,17.680,17.690,17.485,77251.00,2023-04-30 15:00:00+00:00
17.360,17.480,17.485,17.350,21590.00,2023-04-30 14:30:00+00:00
17.385,17.360,17.390,17.325,9401.00,2023-04-30 14:00:00+00:00
17.370,17.385,17.390,17.350,9582.00,2023-04-30 13:30:00+00:00
17.340,17.370,17.405,17.325,15340.00,2023-04-30 13:00:00+00:00
17.345,17.340,17.370,17.320,14132.00,2023-04-30 12:30:00+00:00
17.370,17.350,17.395,17.330,10483.00,2023-04-30 12:00:00+00:00
17.370,17.370,17.390,17.345,9150.00,2023-04-30 11:30:00+00:00
17.415,17.370,17.430,17.365,9940.00,2023-04-30 11:00:00+00:00
17.470,17.420,17.475,17.385,11353.00,2023-04-30 10:30:00+00:00
17.450,17.470,17.505,17.435,12022.00,2023-04-30 10:00:00+00:00
17.410,17.450,17.460,17.400,7499.00,2023-04-30 09:30:00+00:00
17.410,17.410,17.420,17.360,10703.00,2023-04-30 09:00:00+00:00
17.420,17.410,17.460,17.365,13953.00,2023-04-30 08:30:00+00:00
17.380,17.420,17.425,17.360,9497.00,2023-04-30 08:00:00+00:00
17.405,17.380,17.410,17.375,9043.00,2023-04-30 07:30:00+00:00
17.420,17.405,17.430,17.385,9808.00,2023-04-30 07:00:00+00:00
17.370,17.420,17.430,17.360,8258.00,2023-04-30 06:30:00+00:00
17.410,17.370,17.420,17.370,11506.00,2023-04-30 06:00:00+00:00
17.370,17.410,17.410,17.355,9345.00,2023-04-30 05:30:00+00:00
