time,open,high,low,Close,Volume,Close Time,Quote asset volume,Number of Trades,Taker Volume,Maker Volume,Nothing
2021-10-30 02:00:00,13.812,13.843,13.724,13.839,18598.20000000,1635560099999,256348.23320000,815,8442.40000000,116378.51490000,0
2021-10-30 01:45:00,13.669,13.812,13.605,13.805,14610.60000000,1635559199999,200156.28660000,544,9680.10000000,132799.50300000,0
2021-10-30 01:30:00,13.694,13.749,13.636,13.679,14524.10000000,1635558299999,198757.38750000,367,5998.60000000,82110.57630000,0
2021-10-30 01:15:00,13.716,13.741,13.673,13.7,17425.80000000,1635557399999,238995.11230000,519,8789.30000000,120570.40700000,0
2021-10-30 01:00:00,13.651,13.767,13.616,13.718,17674.30000000,1635556499999,242369.06950000,653,8039.20000000,110269.27970000,0
2021-10-30 00:45:00,13.771,13.782,13.653,13.657,22717.30000000,1635555599999,311823.48890000,687,7161.40000000,98333.18440000,0
2021-10-30 00:30:00,13.662,13.775,13.617,13.761,22093.50000000,1635554699999,302488.49230000,595,11672.30000000,159901.18920000,0
2021-10-30 00:15:00,13.571,13.697,13.571,13.662,12155.10000000,1635553799999,165623.72650000,518,6466.50000000,88110.31700000,0
2021-10-30 00:00:00,13.572,13.728,13.46,13.582,80729.60000000,1635552899999,1093750.65760000,2173,31984.60000000,433726.82520000,0
2021-10-29 23:45:00,13.534,13.591,13.518,13.566,9250.60000000,1635551999999,125333.70820000,359,3692.60000000,50052.90570000,0
2021-10-29 23:30:00,13.55,13.587,13.513,13.534,9604.00000000,1635551099999,130026.40870000,385,3559.20000000,48212.71260000,0
2021-10-29 23:15:00,13.711,13.712,13.527,13.546,33735.90000000,1635550199999,458954.95690000,1106,20827.30000000,283359.05210000,0
2021-10-29 23:00:00,13.842,13.848,13.684,13.704,33108.70000000,1635549299999,456119.60890000,1182,11492.00000000,158235.98010000,0
2021-10-29 22:45:00,13.655,13.85,13.655,13.849,27558.70000000,1635548399999,379146.14050000,1208,19413.30000000,267002.18690000,0
2021-10-29 22:30:00,13.645,13.697,13.592,13.65,8282.70000000,1635547499999,113000.12400000,400,5371.30000000,73286.39030000,0
2021-10-29 22:15:00,13.68,13.742,13.637,13.645,21471.30000000,1635546599999,294077.94760000,562,13648.70000000,186963.57060000,0
2021-10-29 22:00:00,13.592,13.7,13.591,13.683,34062.50000000,1635545699999,465349.65360000,906,21695.30000000,296412.83340000,0
2021-10-29 21:45:00,13.571,13.646,13.553,13.596,25865.80000000,1635544799999,352053.35810000,537,14732.30000000,200514.20830000,0
2021-10-29 21:30:00,13.515,13.58,13.498,13.568,19858.50000000,1635543899999,268475.97020000,639,4834.60000000,65448.24690000,0
2021-10-29 21:15:00,13.616,13.651,13.516,13.516,22843.90000000,1635542999999,309868.01920000,813,10696.20000000,144961.87720000,0
2021-10-29 21:00:00,13.639,13.688,13.611,13.621,10914.90000000,1635542099999,149019.42830000,340,5117.30000000,69906.51060000,0
2021-10-29 20:45:00,13.67,13.686,13.613,13.649,16414.10000000,1635541199999,223887.35660000,454,7495.10000000,102247.52500000,0
2021-10-29 20:30:00,13.639,13.693,13.627,13.674,17379.80000000,1635540299999,237374.64260000,523,8753.20000000,119574.64340000,0
2021-10-29 20:15:00,13.682,13.769,13.613,13.639,27976.50000000,1635539399999,382839.31040000,819,11662.50000000,159782.35210000,0
2021-10-29 20:00:00,13.839,13.861,13.657,13.683,24381.00000000,1635538499999,334377.23160000,682,7797.50000000,106956.52760000,0
2021-10-29 19:45:00,13.825,13.862,13.778,13.825,16766.20000000,1635537599999,231691.28180000,579,7923.70000000,109502.85640000,0
2021-10-29 19:30:00,13.753,13.869,13.74,13.823,27373.90000000,1635536699999,378059.51600000,586,14570.60000000,201323.84020000,0
2021-10-29 19:15:00,13.778,13.85,13.749,13.753,28930.50000000,1635535799999,399752.63110000,672,16340.90000000,225743.41150000,0
2021-10-29 19:00:00,13.73,13.884,13.636,13.776,64981.30000000,1635534899999,893551.93300000,2292,30712.80000000,422531.37480000,0
2021-10-29 18:45:00,13.819,13.874,13.7,13.731,75831.30000000,1635533999999,1045853.96950000,2163,33430.00000000,461601.13200000,0
