open,Close,high,low,volume,time
1.291,1.294,1.297,1.288,5833.00,2022-11-30 23:30:00+00:00
1.291,1.291,1.295,1.285,5723.00,2022-11-30 23:00:00+00:00
1.287,1.291,1.297,1.284,5905.00,2022-11-30 22:30:00+00:00
1.286,1.287,1.287,1.282,5495.00,2022-11-30 22:00:00+00:00
1.280,1.286,1.288,1.280,7198.00,2022-11-30 21:30:00+00:00
1.285,1.280,1.289,1.279,11823.00,2022-11-30 21:00:00+00:00
1.287,1.285,1.290,1.282,7116.00,2022-11-30 20:30:00+00:00
1.290,1.289,1.292,1.286,7854.00,2022-11-30 20:00:00+00:00
1.286,1.290,1.292,1.277,10821.00,2022-11-30 19:30:00+00:00
1.279,1.287,1.290,1.276,37208.00,2022-11-30 19:00:00+00:00
1.252,1.277,1.285,1.249,40234.00,2022-11-30 18:30:00+00:00
1.258,1.253,1.262,1.253,5390.00,2022-11-30 18:00:00+00:00
1.256,1.261,1.263,1.253,7474.00,2022-11-30 17:30:00+00:00
1.273,1.257,1.274,1.251,13645.00,2022-11-30 17:00:00+00:00
1.270,1.271,1.274,1.268,5887.00,2022-11-30 16:30:00+00:00
1.272,1.270,1.274,1.266,8026.00,2022-11-30 16:00:00+00:00
1.273,1.271,1.276,1.270,5112.00,2022-11-30 15:30:00+00:00
1.274,1.273,1.277,1.268,6444.00,2022-11-30 15:00:00+00:00
1.268,1.274,1.278,1.267,5313.00,2022-11-30 14:30:00+00:00
1.266,1.269,1.274,1.266,4217.00,2022-11-30 14:00:00+00:00
1.274,1.266,1.276,1.261,8166.00,2022-11-30 13:30:00+00:00
1.256,1.274,1.276,1.255,7476.00,2022-11-30 13:00:00+00:00
1.269,1.260,1.271,1.256,8747.00,2022-11-30 12:30:00+00:00
1.268,1.269,1.275,1.267,5193.00,2022-11-30 12:00:00+00:00
1.271,1.268,1.272,1.267,1886.00,2022-11-30 11:30:00+00:00
1.266,1.269,1.271,1.265,5713.00,2022-11-30 11:00:00+00:00
1.267,1.266,1.271,1.263,3903.00,2022-11-30 10:30:00+00:00
1.266,1.264,1.267,1.262,2605.00,2022-11-30 10:00:00+00:00
1.259,1.264,1.267,1.259,3252.00,2022-11-30 09:30:00+00:00
1.266,1.259,1.269,1.257,7643.00,2022-11-30 09:00:00+00:00
1.269,1.264,1.270,1.262,3386.00,2022-11-30 08:30:00+00:00
1.270,1.267,1.274,1.265,11354.00,2022-11-30 08:00:00+00:00
1.266,1.268,1.272,1.265,3665.00,2022-11-30 07:30:00+00:00
1.262,1.266,1.270,1.262,3808.00,2022-11-30 07:00:00+00:00
1.264,1.263,1.268,1.257,6952.00,2022-11-30 06:30:00+00:00
1.270,1.264,1.270,1.263,3858.00,2022-11-30 06:00:00+00:00
1.266,1.267,1.271,1.264,4027.00,2022-11-30 05:30:00+00:00
1.262,1.266,1.267,1.258,4401.00,2022-11-30 05:00:00+00:00
1.265,1.260,1.267,1.255,14095.00,2022-11-30 04:30:00+00:00
1.257,1.265,1.267,1.257,4354.00,2022-11-30 04:00:00+00:00
1.268,1.259,1.270,1.259,6579.00,2022-11-30 03:30:00+00:00
1.270,1.265,1.274,1.265,4599.00,2022-11-30 03:00:00+00:00
1.276,1.271,1.278,1.270,4312.00,2022-11-30 02:30:00+00:00
1.272,1.278,1.281,1.267,11447.00,2022-11-30 02:00:00+00:00
1.270,1.270,1.274,1.265,7077.00,2022-11-30 01:30:00+00:00
1.269,1.268,1.290,1.265,91280738.00,2022-11-30 01:00:00+00:00
1.234,1.266,1.273,1.234,120344.00,2022-11-30 00:30:00+00:00
1.227,1.234,1.239,1.226,14796.00,2022-11-30 00:00:00+00:00
1.232,1.230,1.233,1.226,4032.00,2022-11-29 23:30:00+00:00
1.232,1.235,1.237,1.229,3280.00,2022-11-29 23:00:00+00:00
1.234,1.234,1.235,1.230,3512.00,2022-11-29 22:30:00+00:00
1.233,1.234,1.235,1.228,4847.00,2022-11-29 22:00:00+00:00
1.236,1.233,1.236,1.230,3655.00,2022-11-29 21:30:00+00:00
1.239,1.233,1.241,1.233,12636.00,2022-11-29 21:00:00+00:00
1.236,1.239,1.241,1.233,5118.00,2022-11-29 20:30:00+00:00
1.228,1.234,1.240,1.228,30404.00,2022-11-29 20:00:00+00:00
1.226,1.228,1.232,1.226,32080.00,2022-11-29 19:30:00+00:00
1.229,1.227,1.236,1.226,40241.00,2022-11-29 19:00:00+00:00
1.222,1.227,1.230,1.220,8715.00,2022-11-29 18:30:00+00:00
1.223,1.223,1.226,1.221,3932.00,2022-11-29 18:00:00+00:00
1.223,1.225,1.230,1.219,5847.00,2022-11-29 17:30:00+00:00
1.228,1.223,1.232,1.219,7931.00,2022-11-29 17:00:00+00:00
1.225,1.231,1.234,1.223,8238.00,2022-11-29 16:30:00+00:00
1.227,1.223,1.227,1.214,9167.00,2022-11-29 16:00:00+00:00
1.229,1.224,1.231,1.224,3977.00,2022-11-29 15:30:00+00:00
1.221,1.229,1.229,1.217,10749.00,2022-11-29 15:00:00+00:00
1.225,1.223,1.232,1.216,19375.00,2022-11-29 14:30:00+00:00
1.228,1.225,1.235,1.223,23123.00,2022-11-29 14:00:00+00:00
1.227,1.228,1.228,1.218,8741.00,2022-11-29 13:30:00+00:00
1.230,1.226,1.232,1.222,6233.00,2022-11-29 13:00:00+00:00
1.234,1.230,1.235,1.227,3183.00,2022-11-29 12:30:00+00:00
1.230,1.231,1.237,1.227,6979.00,2022-11-29 12:00:00+00:00
1.235,1.229,1.237,1.229,4919.00,2022-11-29 11:30:00+00:00
1.229,1.235,1.238,1.229,5511.00,2022-11-29 11:00:00+00:00
1.231,1.229,1.234,1.227,3256.00,2022-11-29 10:30:00+00:00
1.233,1.230,1.236,1.226,5077.00,2022-11-29 10:00:00+00:00
1.233,1.236,1.237,1.228,8403.00,2022-11-29 09:30:00+00:00
1.240,1.236,1.242,1.231,5558.00,2022-11-29 09:00:00+00:00
1.237,1.242,1.243,1.236,13808.00,2022-11-29 08:30:00+00:00
1.234,1.237,1.237,1.229,11175.00,2022-11-29 08:00:00+00:00
1.229,1.234,1.247,1.226,53004699.00,2022-11-29 07:30:00+00:00
1.221,1.229,1.230,1.218,16729.00,2022-11-29 07:00:00+00:00
1.215,1.218,1.224,1.215,9179.00,2022-11-29 06:30:00+00:00
1.213,1.218,1.228,1.210,1875743.00,2022-11-29 06:00:00+00:00
1.211,1.213,1.216,1.208,4539.00,2022-11-29 05:30:00+00:00
1.203,1.211,1.217,1.200,6360652.00,2022-11-29 05:00:00+00:00
1.199,1.201,1.206,1.197,4278343.00,2022-11-29 04:30:00+00:00
1.187,1.199,1.199,1.187,171591.00,2022-11-29 04:00:00+00:00
1.188,1.187,1.190,1.186,2474.00,2022-11-29 03:30:00+00:00
1.185,1.190,1.190,1.185,7863.00,2022-11-29 03:00:00+00:00
1.185,1.185,1.188,1.185,58.00,2022-11-29 02:30:00+00:00
1.181,1.184,1.192,1.177,6736.00,2022-11-29 02:00:00+00:00
1.171,1.178,1.185,1.168,8599.00,2022-11-29 01:30:00+00:00
1.166,1.170,1.172,1.166,2013.00,2022-11-29 01:00:00+00:00
1.163,1.166,1.171,1.163,4161.00,2022-11-29 00:30:00+00:00
1.168,1.166,1.171,1.153,12701.00,2022-11-29 00:00:00+00:00
1.168,1.171,1.176,1.161,39633.00,2022-11-28 23:30:00+00:00
1.167,1.165,1.170,1.160,3105.00,2022-11-28 23:00:00+00:00
1.163,1.167,1.168,1.162,3217.00,2022-11-28 22:30:00+00:00
1.166,1.163,1.167,1.161,2702.00,2022-11-28 22:00:00+00:00
1.163,1.166,1.167,1.160,3072.00,2022-11-28 21:30:00+00:00
1.167,1.166,1.169,1.158,3115.00,2022-11-28 21:00:00+00:00
1.162,1.170,1.170,1.161,4319.00,2022-11-28 20:30:00+00:00
1.160,1.162,1.165,1.158,2482.00,2022-11-28 20:00:00+00:00
1.156,1.160,1.166,1.156,3329.00,2022-11-28 19:30:00+00:00
1.158,1.157,1.161,1.151,2642.00,2022-11-28 19:00:00+00:00
1.160,1.155,1.161,1.154,2950.00,2022-11-28 18:30:00+00:00
1.161,1.157,1.162,1.154,3459.00,2022-11-28 18:00:00+00:00
1.163,1.160,1.168,1.157,3723.00,2022-11-28 17:30:00+00:00
1.165,1.160,1.173,1.157,13562.00,2022-11-28 17:00:00+00:00
1.142,1.162,1.169,1.142,17376.00,2022-11-28 16:30:00+00:00
1.140,1.144,1.146,1.131,9669.00,2022-11-28 16:00:00+00:00
1.144,1.139,1.146,1.137,10611.00,2022-11-28 15:30:00+00:00
1.155,1.144,1.156,1.139,17609.00,2022-11-28 15:00:00+00:00
1.152,1.155,1.163,1.149,17139.00,2022-11-28 14:30:00+00:00
1.148,1.149,1.153,1.145,6657.00,2022-11-28 14:00:00+00:00
1.153,1.148,1.155,1.148,4328.00,2022-11-28 13:30:00+00:00
1.152,1.153,1.153,1.146,6536.00,2022-11-28 13:00:00+00:00
1.155,1.149,1.158,1.147,5965.00,2022-11-28 12:30:00+00:00
1.151,1.158,1.158,1.150,3556.00,2022-11-28 12:00:00+00:00
1.153,1.154,1.154,1.147,2433.00,2022-11-28 11:30:00+00:00
1.150,1.151,1.157,1.147,6612.00,2022-11-28 11:00:00+00:00
1.155,1.150,1.157,1.144,9129.00,2022-11-28 10:30:00+00:00
1.159,1.157,1.163,1.153,7143.00,2022-11-28 10:00:00+00:00
1.161,1.163,1.166,1.158,3405.00,2022-11-28 09:30:00+00:00
1.166,1.164,1.168,1.159,5204.00,2022-11-28 09:00:00+00:00
1.162,1.163,1.167,1.159,3548.00,2022-11-28 08:30:00+00:00
1.162,1.160,1.166,1.158,3854.00,2022-11-28 08:00:00+00:00
1.161,1.165,1.165,1.158,3435.00,2022-11-28 07:30:00+00:00
1.163,1.161,1.164,1.158,3593.00,2022-11-28 07:00:00+00:00
1.151,1.160,1.163,1.151,3124.00,2022-11-28 06:30:00+00:00
1.145,1.151,1.156,1.145,2768.00,2022-11-28 06:00:00+00:00
1.152,1.145,1.158,1.145,4644.00,2022-11-28 05:30:00+00:00
1.161,1.157,1.161,1.150,4159.00,2022-11-28 05:00:00+00:00
1.156,1.156,1.161,1.153,4024.00,2022-11-28 04:30:00+00:00
1.151,1.155,1.161,1.151,3519.00,2022-11-28 04:00:00+00:00
1.149,1.152,1.158,1.148,3021.00,2022-11-28 03:30:00+00:00
1.145,1.154,1.156,1.144,6715.00,2022-11-28 03:00:00+00:00
1.149,1.150,1.151,1.143,12381.00,2022-11-28 02:30:00+00:00
1.147,1.149,1.155,1.134,44340.00,2022-11-28 02:00:00+00:00
1.162,1.143,1.163,1.139,69342.00,2022-11-28 01:30:00+00:00
1.182,1.162,1.187,1.153,76340.00,2022-11-28 01:00:00+00:00
