open,Close,high,low,volume,time,Close Time
1.500,1.512,1.512,1.498,224106.00,2023-09-01 00:00:00+00:00,1693526400000
1.499,1.500,1.502,1.496,124224.00,2023-08-31 23:30:00+00:00,1693524600000
1.506,1.499,1.506,1.497,173867.00,2023-08-31 23:00:00+00:00,1693522800000
1.494,1.505,1.507,1.493,235081.00,2023-08-31 22:30:00+00:00,1693521000000
1.490,1.494,1.495,1.486,133294.00,2023-08-31 22:00:00+00:00,1693519200000
1.487,1.491,1.496,1.484,124047.00,2023-08-31 21:30:00+00:00,1693517400000
1.484,1.487,1.490,1.468,599866.00,2023-08-31 21:00:00+00:00,1693515600000
1.495,1.484,1.497,1.480,235348.00,2023-08-31 20:30:00+00:00,1693513800000
1.494,1.496,1.496,1.488,224061.00,2023-08-31 20:00:00+00:00,1693512000000
1.490,1.495,1.500,1.489,225839.00,2023-08-31 19:30:00+00:00,1693510200000
1.489,1.490,1.492,1.479,582021.00,2023-08-31 19:00:00+00:00,1693508400000
1.488,1.489,1.492,1.479,268461.00,2023-08-31 18:30:00+00:00,1693506600000
1.488,1.488,1.497,1.486,207928.00,2023-08-31 18:00:00+00:00,1693504800000
1.484,1.489,1.489,1.481,269629.00,2023-08-31 17:30:00+00:00,1693503000000
1.475,1.484,1.487,1.455,1652100.00,2023-08-31 17:00:00+00:00,1693501200000
1.512,1.475,1.512,1.473,1124383.00,2023-08-31 16:30:00+00:00,1693499400000
1.516,1.511,1.518,1.508,449679.00,2023-08-31 16:00:00+00:00,1693497600000
1.525,1.516,1.526,1.503,1022341.00,2023-08-31 15:30:00+00:00,1693495800000
1.533,1.525,1.534,1.522,214736.00,2023-08-31 15:00:00+00:00,1693494000000
1.528,1.533,1.534,1.526,219148.00,2023-08-31 14:30:00+00:00,1693492200000
1.536,1.528,1.538,1.522,553342.00,2023-08-31 14:00:00+00:00,1693490400000
1.543,1.537,1.543,1.530,330367.00,2023-08-31 13:30:00+00:00,1693488600000
1.555,1.542,1.555,1.541,333429.00,2023-08-31 13:00:00+00:00,1693486800000
1.556,1.555,1.558,1.551,226017.00,2023-08-31 12:30:00+00:00,1693485000000
1.566,1.556,1.567,1.554,492385.00,2023-08-31 12:00:00+00:00,1693483200000
1.566,1.566,1.577,1.560,747071.00,2023-08-31 11:30:00+00:00,1693481400000
1.552,1.566,1.568,1.551,430163.00,2023-08-31 11:00:00+00:00,1693479600000
1.550,1.551,1.552,1.545,89348.00,2023-08-31 10:30:00+00:00,1693477800000
1.549,1.549,1.551,1.546,88734.00,2023-08-31 10:00:00+00:00,1693476000000
1.552,1.550,1.555,1.547,146314.00,2023-08-31 09:30:00+00:00,1693474200000
1.554,1.552,1.554,1.546,136541.00,2023-08-31 09:00:00+00:00,1693472400000
1.551,1.554,1.557,1.547,139377.00,2023-08-31 08:30:00+00:00,1693470600000
1.556,1.550,1.557,1.548,227754.00,2023-08-31 08:00:00+00:00,1693468800000
1.559,1.556,1.561,1.554,149381.00,2023-08-31 07:30:00+00:00,1693467000000
1.558,1.558,1.562,1.554,178993.00,2023-08-31 07:00:00+00:00,1693465200000
1.551,1.558,1.561,1.550,187543.00,2023-08-31 06:30:00+00:00,1693463400000
1.545,1.550,1.554,1.544,151960.00,2023-08-31 06:00:00+00:00,1693461600000
1.542,1.545,1.550,1.541,210265.00,2023-08-31 05:30:00+00:00,1693459800000
1.538,1.542,1.545,1.537,174901.00,2023-08-31 05:00:00+00:00,1693458000000
1.532,1.537,1.541,1.530,177058.00,2023-08-31 04:30:00+00:00,1693456200000
1.529,1.532,1.534,1.527,90331.00,2023-08-31 04:00:00+00:00,1693454400000
1.528,1.529,1.531,1.526,85531.00,2023-08-31 03:30:00+00:00,1693452600000
1.525,1.528,1.530,1.525,75963.00,2023-08-31 03:00:00+00:00,1693450800000
1.527,1.525,1.528,1.524,80569.00,2023-08-31 02:30:00+00:00,1693449000000
1.526,1.527,1.531,1.526,71808.00,2023-08-31 02:00:00+00:00,1693447200000
1.529,1.526,1.532,1.524,109678.00,2023-08-31 01:30:00+00:00,1693445400000
1.531,1.529,1.531,1.527,90369.00,2023-08-31 01:00:00+00:00,1693443600000
1.531,1.531,1.532,1.526,128367.00,2023-08-31 00:30:00+00:00,1693441800000
1.536,1.531,1.537,1.528,131326.00,2023-08-31 00:00:00+00:00,1693440000000
1.537,1.536,1.539,1.535,106234.00,2023-08-30 23:30:00+00:00,1693438200000
